"Notes"	"State"	"State Code"	"Year"	"Year Code"	"UCD - Injury Mechanism & All Other Leading Causes"	"UCD - Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Firearm"	"GRINJ-006"	72	951350	7.6
	"Alabama"	"01"	"2000"	"2000"	"Firearm"	"GRINJ-006"	46	951697	4.8
	"Alabama"	"01"	"2001"	"2001"	"Firearm"	"GRINJ-006"	49	964222	5.1
	"Alabama"	"01"	"2002"	"2002"	"Firearm"	"GRINJ-006"	47	968569	4.9
	"Alabama"	"01"	"2003"	"2003"	"Firearm"	"GRINJ-006"	54	975280	5.5
	"Alabama"	"01"	"2004"	"2004"	"Firearm"	"GRINJ-006"	56	978072	5.7
	"Alabama"	"01"	"2005"	"2005"	"Firearm"	"GRINJ-006"	43	980508	4.4
	"Alabama"	"01"	"2006"	"2006"	"Firearm"	"GRINJ-006"	53	985109	5.4
	"Alabama"	"01"	"2007"	"2007"	"Firearm"	"GRINJ-006"	49	988979	5.0
	"Alabama"	"01"	"2008"	"2008"	"Firearm"	"GRINJ-006"	49	993834	4.9
	"Alabama"	"01"	"2009"	"2009"	"Firearm"	"GRINJ-006"	53	997800	5.3
	"Alabama"	"01"	"2010"	"2010"	"Firearm"	"GRINJ-006"	52	998448	5.2
	"Alabama"	"01"	"2011"	"2011"	"Firearm"	"GRINJ-006"	55	1003010	5.5
	"Alabama"	"01"	"2012"	"2012"	"Firearm"	"GRINJ-006"	48	997700	4.8
	"Alabama"	"01"	"2013"	"2013"	"Firearm"	"GRINJ-006"	54	992553	5.4
	"Alabama"	"01"	"2014"	"2014"	"Firearm"	"GRINJ-006"	48	985652	4.9
	"Alabama"	"01"	"2015"	"2015"	"Firearm"	"GRINJ-006"	56	972895	5.8
	"Alabama"	"01"	"2016"	"2016"	"Firearm"	"GRINJ-006"	66	960257	6.9
	"Alabama"	"01"	"2017"	"2017"	"Firearm"	"GRINJ-006"	65	956863	6.8
	"Alabama"	"01"	"2018"	"2018"	"Firearm"	"GRINJ-006"	68	951395	7.1
	"Alabama"	"01"	"2019"	"2019"	"Firearm"	"GRINJ-006"	67	946205	7.1
	"Alabama"	"01"	"2020"	"2020"	"Firearm"	"GRINJ-006"	73	943601	7.7
	"Alaska"	"02"	"1999"	"1999"	"Firearm"	"GRINJ-006"	18	145060	Unreliable
	"Alaska"	"02"	"2000"	"2000"	"Firearm"	"GRINJ-006"	37	146647	25.2
	"Alaska"	"02"	"2001"	"2001"	"Firearm"	"GRINJ-006"	17	152057	Unreliable
	"Alaska"	"02"	"2002"	"2002"	"Firearm"	"GRINJ-006"	24	156386	15.3
	"Alaska"	"02"	"2003"	"2003"	"Firearm"	"GRINJ-006"	21	158741	13.2
	"Alaska"	"02"	"2004"	"2004"	"Firearm"	"GRINJ-006"	25	161934	15.4
	"Alaska"	"02"	"2005"	"2005"	"Firearm"	"GRINJ-006"	21	162525	12.9
	"Alaska"	"02"	"2006"	"2006"	"Firearm"	"GRINJ-006"	21	162445	12.9
	"Alaska"	"02"	"2007"	"2007"	"Firearm"	"GRINJ-006"	18	160478	Unreliable
	"Alaska"	"02"	"2008"	"2008"	"Firearm"	"GRINJ-006"	28	158979	17.6
	"Alaska"	"02"	"2009"	"2009"	"Firearm"	"GRINJ-006"	21	156408	13.4
	"Alaska"	"02"	"2010"	"2010"	"Firearm"	"GRINJ-006"	33	157376	21.0
	"Alaska"	"02"	"2011"	"2011"	"Firearm"	"GRINJ-006"	23	158987	14.5
	"Alaska"	"02"	"2012"	"2012"	"Firearm"	"GRINJ-006"	23	160442	14.3
	"Alaska"	"02"	"2013"	"2013"	"Firearm"	"GRINJ-006"	32	163007	19.6
	"Alaska"	"02"	"2014"	"2014"	"Firearm"	"GRINJ-006"	25	161669	15.5
	"Alaska"	"02"	"2015"	"2015"	"Firearm"	"GRINJ-006"	37	159534	23.2
	"Alaska"	"02"	"2016"	"2016"	"Firearm"	"GRINJ-006"	29	155410	18.7
	"Alaska"	"02"	"2017"	"2017"	"Firearm"	"GRINJ-006"	34	150982	22.5
	"Alaska"	"02"	"2018"	"2018"	"Firearm"	"GRINJ-006"	27	149022	18.1
	"Alaska"	"02"	"2019"	"2019"	"Firearm"	"GRINJ-006"	28	145459	19.2
	"Alaska"	"02"	"2020"	"2020"	"Firearm"	"GRINJ-006"	30	144429	20.8
	"Arizona"	"04"	"1999"	"1999"	"Firearm"	"GRINJ-006"	58	1074764	5.4
	"Arizona"	"04"	"2000"	"2000"	"Firearm"	"GRINJ-006"	89	1108793	8.0
	"Arizona"	"04"	"2001"	"2001"	"Firearm"	"GRINJ-006"	57	1152690	4.9
	"Arizona"	"04"	"2002"	"2002"	"Firearm"	"GRINJ-006"	94	1183470	7.9
	"Arizona"	"04"	"2003"	"2003"	"Firearm"	"GRINJ-006"	76	1207571	6.3
	"Arizona"	"04"	"2004"	"2004"	"Firearm"	"GRINJ-006"	79	1232374	6.4
	"Arizona"	"04"	"2005"	"2005"	"Firearm"	"GRINJ-006"	78	1260510	6.2
	"Arizona"	"04"	"2006"	"2006"	"Firearm"	"GRINJ-006"	94	1290068	7.3
	"Arizona"	"04"	"2007"	"2007"	"Firearm"	"GRINJ-006"	76	1316077	5.8
	"Arizona"	"04"	"2008"	"2008"	"Firearm"	"GRINJ-006"	59	1336120	4.4
	"Arizona"	"04"	"2009"	"2009"	"Firearm"	"GRINJ-006"	64	1346369	4.8
	"Arizona"	"04"	"2010"	"2010"	"Firearm"	"GRINJ-006"	72	1352830	5.3
	"Arizona"	"04"	"2011"	"2011"	"Firearm"	"GRINJ-006"	78	1367097	5.7
	"Arizona"	"04"	"2012"	"2012"	"Firearm"	"GRINJ-006"	80	1376242	5.8
	"Arizona"	"04"	"2013"	"2013"	"Firearm"	"GRINJ-006"	53	1391225	3.8
	"Arizona"	"04"	"2014"	"2014"	"Firearm"	"GRINJ-006"	76	1400915	5.4
	"Arizona"	"04"	"2015"	"2015"	"Firearm"	"GRINJ-006"	82	1405706	5.8
	"Arizona"	"04"	"2016"	"2016"	"Firearm"	"GRINJ-006"	73	1410284	5.2
	"Arizona"	"04"	"2017"	"2017"	"Firearm"	"GRINJ-006"	98	1417512	6.9
	"Arizona"	"04"	"2018"	"2018"	"Firearm"	"GRINJ-006"	108	1442391	7.5
	"Arizona"	"04"	"2019"	"2019"	"Firearm"	"GRINJ-006"	83	1450600	5.7
	"Arizona"	"04"	"2020"	"2020"	"Firearm"	"GRINJ-006"	111	1464488	7.6
	"Arkansas"	"05"	"1999"	"1999"	"Firearm"	"GRINJ-006"	42	572773	7.3
	"Arkansas"	"05"	"2000"	"2000"	"Firearm"	"GRINJ-006"	37	573298	6.5
	"Arkansas"	"05"	"2001"	"2001"	"Firearm"	"GRINJ-006"	31	581513	5.3
	"Arkansas"	"05"	"2002"	"2002"	"Firearm"	"GRINJ-006"	36	585454	6.1
	"Arkansas"	"05"	"2003"	"2003"	"Firearm"	"GRINJ-006"	31	588065	5.3
	"Arkansas"	"05"	"2004"	"2004"	"Firearm"	"GRINJ-006"	18	588573	Unreliable
	"Arkansas"	"05"	"2005"	"2005"	"Firearm"	"GRINJ-006"	43	588369	7.3
	"Arkansas"	"05"	"2006"	"2006"	"Firearm"	"GRINJ-006"	24	589937	4.1
	"Arkansas"	"05"	"2007"	"2007"	"Firearm"	"GRINJ-006"	20	591877	3.4
	"Arkansas"	"05"	"2008"	"2008"	"Firearm"	"GRINJ-006"	34	594623	5.7
	"Arkansas"	"05"	"2009"	"2009"	"Firearm"	"GRINJ-006"	36	596751	6.0
	"Arkansas"	"05"	"2010"	"2010"	"Firearm"	"GRINJ-006"	29	601014	4.8
	"Arkansas"	"05"	"2011"	"2011"	"Firearm"	"GRINJ-006"	37	602445	6.1
	"Arkansas"	"05"	"2012"	"2012"	"Firearm"	"GRINJ-006"	45	603524	7.5
	"Arkansas"	"05"	"2013"	"2013"	"Firearm"	"GRINJ-006"	44	605372	7.3
	"Arkansas"	"05"	"2014"	"2014"	"Firearm"	"GRINJ-006"	45	603079	7.5
	"Arkansas"	"05"	"2015"	"2015"	"Firearm"	"GRINJ-006"	33	601073	5.5
	"Arkansas"	"05"	"2016"	"2016"	"Firearm"	"GRINJ-006"	38	599971	6.3
	"Arkansas"	"05"	"2017"	"2017"	"Firearm"	"GRINJ-006"	50	600310	8.3
	"Arkansas"	"05"	"2018"	"2018"	"Firearm"	"GRINJ-006"	42	600131	7.0
	"Arkansas"	"05"	"2019"	"2019"	"Firearm"	"GRINJ-006"	55	598004	9.2
	"Arkansas"	"05"	"2020"	"2020"	"Firearm"	"GRINJ-006"	55	598842	9.2
	"California"	"06"	"1999"	"1999"	"Firearm"	"GRINJ-006"	174	7204176	2.4
	"California"	"06"	"2000"	"2000"	"Firearm"	"GRINJ-006"	155	7402998	2.1
	"California"	"06"	"2001"	"2001"	"Firearm"	"GRINJ-006"	143	7653967	1.9
	"California"	"06"	"2002"	"2002"	"Firearm"	"GRINJ-006"	137	7822435	1.8
	"California"	"06"	"2003"	"2003"	"Firearm"	"GRINJ-006"	166	7946528	2.1
	"California"	"06"	"2004"	"2004"	"Firearm"	"GRINJ-006"	142	8052639	1.8
	"California"	"06"	"2005"	"2005"	"Firearm"	"GRINJ-006"	136	8107442	1.7
	"California"	"06"	"2006"	"2006"	"Firearm"	"GRINJ-006"	148	8123971	1.8
	"California"	"06"	"2007"	"2007"	"Firearm"	"GRINJ-006"	132	8133732	1.6
	"California"	"06"	"2008"	"2008"	"Firearm"	"GRINJ-006"	134	8149699	1.6
	"California"	"06"	"2009"	"2009"	"Firearm"	"GRINJ-006"	151	8166658	1.8
	"California"	"06"	"2010"	"2010"	"Firearm"	"GRINJ-006"	148	8180819	1.8
	"California"	"06"	"2011"	"2011"	"Firearm"	"GRINJ-006"	126	8188043	1.5
	"California"	"06"	"2012"	"2012"	"Firearm"	"GRINJ-006"	128	8177447	1.6
	"California"	"06"	"2013"	"2013"	"Firearm"	"GRINJ-006"	142	8114777	1.7
	"California"	"06"	"2014"	"2014"	"Firearm"	"GRINJ-006"	110	8077988	1.4
	"California"	"06"	"2015"	"2015"	"Firearm"	"GRINJ-006"	149	8005394	1.9
	"California"	"06"	"2016"	"2016"	"Firearm"	"GRINJ-006"	160	7914652	2.0
	"California"	"06"	"2017"	"2017"	"Firearm"	"GRINJ-006"	178	7873223	2.3
	"California"	"06"	"2018"	"2018"	"Firearm"	"GRINJ-006"	149	7805148	1.9
	"California"	"06"	"2019"	"2019"	"Firearm"	"GRINJ-006"	141	7710110	1.8
	"California"	"06"	"2020"	"2020"	"Firearm"	"GRINJ-006"	148	7616757	1.9
	"Colorado"	"08"	"1999"	"1999"	"Firearm"	"GRINJ-006"	46	903191	5.1
	"Colorado"	"08"	"2000"	"2000"	"Firearm"	"GRINJ-006"	44	924973	4.8
	"Colorado"	"08"	"2001"	"2001"	"Firearm"	"GRINJ-006"	47	962911	4.9
	"Colorado"	"08"	"2002"	"2002"	"Firearm"	"GRINJ-006"	64	980459	6.5
	"Colorado"	"08"	"2003"	"2003"	"Firearm"	"GRINJ-006"	37	986210	3.8
	"Colorado"	"08"	"2004"	"2004"	"Firearm"	"GRINJ-006"	46	989888	4.6
	"Colorado"	"08"	"2005"	"2005"	"Firearm"	"GRINJ-006"	55	993329	5.5
	"Colorado"	"08"	"2006"	"2006"	"Firearm"	"GRINJ-006"	65	1000759	6.5
	"Colorado"	"08"	"2007"	"2007"	"Firearm"	"GRINJ-006"	38	1002556	3.8
	"Colorado"	"08"	"2008"	"2008"	"Firearm"	"GRINJ-006"	46	1008822	4.6
	"Colorado"	"08"	"2009"	"2009"	"Firearm"	"GRINJ-006"	65	1015969	6.4
	"Colorado"	"08"	"2010"	"2010"	"Firearm"	"GRINJ-006"	58	1020744	5.7
	"Colorado"	"08"	"2011"	"2011"	"Firearm"	"GRINJ-006"	45	1037599	4.3
	"Colorado"	"08"	"2012"	"2012"	"Firearm"	"GRINJ-006"	53	1046326	5.1
	"Colorado"	"08"	"2013"	"2013"	"Firearm"	"GRINJ-006"	60	1062604	5.6
	"Colorado"	"08"	"2014"	"2014"	"Firearm"	"GRINJ-006"	72	1079848	6.7
	"Colorado"	"08"	"2015"	"2015"	"Firearm"	"GRINJ-006"	93	1096726	8.5
	"Colorado"	"08"	"2016"	"2016"	"Firearm"	"GRINJ-006"	80	1104695	7.2
	"Colorado"	"08"	"2017"	"2017"	"Firearm"	"GRINJ-006"	82	1096953	7.5
	"Colorado"	"08"	"2018"	"2018"	"Firearm"	"GRINJ-006"	92	1107256	8.3
	"Colorado"	"08"	"2019"	"2019"	"Firearm"	"GRINJ-006"	93	1106752	8.4
	"Colorado"	"08"	"2020"	"2020"	"Firearm"	"GRINJ-006"	106	1108080	9.6
	"Connecticut"	"09"	"1999"	"1999"	"Firearm"	"GRINJ-006"	16	635109	Unreliable
	"Connecticut"	"09"	"2000"	"2000"	"Firearm"	"GRINJ-006"	11	645785	Unreliable
	"Connecticut"	"09"	"2001"	"2001"	"Firearm"	"GRINJ-006"	10	664103	Unreliable
	"Connecticut"	"09"	"2002"	"2002"	"Firearm"	"GRINJ-006"	10	679246	Unreliable
	"Connecticut"	"09"	"2004"	"2004"	"Firearm"	"GRINJ-006"	14	701178	Unreliable
	"Connecticut"	"09"	"2008"	"2008"	"Firearm"	"GRINJ-006"	10	717974	Unreliable
	"Connecticut"	"09"	"2009"	"2009"	"Firearm"	"GRINJ-006"	11	719881	Unreliable
	"Connecticut"	"09"	"2011"	"2011"	"Firearm"	"GRINJ-006"	10	717801	Unreliable
	"Connecticut"	"09"	"2014"	"2014"	"Firearm"	"GRINJ-006"	13	725879	Unreliable
