"STATE","YEAR","CAPLIABILITY","CAPACCESS","CAPUSES","CAPUNLOADED","CAP18","CAP16","CAP14","state_year","State","State.Code","Year","Year.Code","UCD...Injury.Mechanism...All.Other.Leading.Causes","UCD...Injury.Mechanism...All.Other.Leading.Causes.Code","Deaths","Population","Crude.Rate","Median_Age","White_Pop","Bachelors_Degree","Median_Income","Median_Rent","CAP_Law_Present"
"Alabama       ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Alabama","Alabama",1,1999,1999,"Firearm","GRINJ-006",72,951350,"7.6",36.0317857142858,3194337.30833333,330000.872619051,32064.7190476193,465.854761904768,"(0) Law provision is not present"
"Alaska        ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Alaska","Alaska",2,1999,1999,"Firearm","GRINJ-006",18,145060,"Unreliable",32.5604761904762,458457.758333333,58924.8321428578,53107.9630952384,706.669047619056,"(0) Law provision is not present"
"Arizona       ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Arizona","Arizona",4,1999,1999,"Firearm","GRINJ-006",58,1074764,"5.4",32.6065476190478,4361526.9107143,469842.336904757,39010.672619048,611.398809523816,"(0) Law provision is not present"
"Arkansas      ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Arkansas","Arkansas",5,1999,1999,"Firearm","GRINJ-006",42,572773,"7.3",36.2059523809524,2156038.37142857,183814.132142859,29695.2511904764,473.395238095243,"(0) Law provision is not present"
"California    ",1999,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","1999_California","California",6,1999,1999,"Firearm","GRINJ-006",174,7204176,"2.4",33.1419047619048,21517769.925,3384868.2571429,43818.5500000007,735.264285714293,"(1) Law provision is present"
"Colorado      ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Colorado","Colorado",8,1999,1999,"Firearm","GRINJ-006",46,903191,"5.1",34.3983333333334,3487400.01071431,499105.788095251,39279.3630952383,433.103571428583,"(0) Law provision is not present"
"Connecticut   ",1999,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","1999_Connecticut","Connecticut",9,1999,1999,"Firearm","GRINJ-006",16,635109,"Unreliable",37.8576642335767,2875357.6350365,416332.708029196,60052.01459854,829.941605839416,"(1) Law provision is present"
"Florida       ",1999,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","1999_Florida","Florida",12,1999,1999,"Firearm","GRINJ-006",96,2931867,"3.3",38.3314285714287,12410267.1404763,1432559.11309525,37267.7440476192,682.584523809528,"(1) Law provision is present"
"Georgia       ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Georgia","Georgia",13,1999,1999,"Firearm","GRINJ-006",92,1755954,"5.2",33.0741666666668,5623795.00714286,826417.089285724,38926.5535714289,579.909523809525,"(0) Law provision is not present"
"Idaho         ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Idaho","Idaho",16,1999,1999,"Firearm","GRINJ-006",20,308003,"6.5",32.7559523809524,1227668.9357143,109642.486904765,34824.8940476193,495.790476190487,"(0) Law provision is not present"
